Submission Num,Reimbursement RequestID,Day Number,First Day,Last Day,Per Diem,Lodging Rate,Lodging Cost,Lodging Taxes,Zip Code
573,ab91e0,2,5/6/2025,5/13/2025,$86.00 ,$0.00 ,$111.96 ,$20.49 ,45206
573,ab91e0,3,5/6/2025,5/13/2025,$86.00 ,$0.00 ,$111.86 ,$20.48 ,45206
573,ab91e0,4,5/6/2025,5/13/2025,$86.00 ,$0.00 ,$122.21 ,$22.37 ,45206
573,ab91e0,5,5/6/2025,5/13/2025,$51.00 ,$0.00 ,$110.00 ,$19.53 ,37841
573,ab91e0,6,5/6/2025,5/13/2025,$68.00 ,$0.00 ,$110.00 ,$19.53 ,37841
573,ab91e0,7,5/6/2025,5/13/2025,$51.00 ,$0.00 ,$110.00 ,$19.53 ,37841
574,358b37,1,5/8/2025,5/8/2025,$60.00 ,$0.00 ,$0.00 ,$0.00 ,53925
575,3dce4e,1,5/9/2025,5/9/2025,$51.00 ,$0.00 ,$0.00 ,$0.00 ,53809
576,b9bf4f,1,5/12/2025,5/12/2025,$51.00 ,$0.00 ,$0.00 ,$0.00 ,33935
576,b9bf4f,2,5/12/2025,5/12/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
577,1db50b,1,5/8/2025,5/9/2025,$51.00 ,$0.00 ,$85.59 ,$10.25 ,62959
577,1db50b,2,5/8/2025,5/9/2025,$51.00 ,$0.00 ,$0.00 ,$0.00 ,62959
577,1db50b,3,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
577,1db50b,4,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
577,1db50b,5,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
577,1db50b,6,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
578,35ba5e,1,4/2/2025,4/2/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
579,9f55e9,1,5/6/2025,5/6/2025,$69.00 ,$0.00 ,$0.00 ,$0.00 ,60637
579,9f55e9,2,5/6/2025,5/6/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
580,bf278c,1,5/8/2025,5/9/2025,$69.00 ,$0.00 ,$0.00 ,$0.00 ,60653
580,bf278c,2,5/8/2025,5/9/2025,$69.00 ,$0.00 ,$0.00 ,$0.00 ,60653
580,bf278c,3,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
580,bf278c,4,5/8/2025,5/9/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
581,6f4328,1,4/25/2025,4/25/2025,$60.00 ,$0.00 ,$0.00 ,$0.00 ,76109
581,6f4328,2,4/25/2025,4/25/2025,$0.00 ,$0.00 ,$0.00 ,$0.00 ,
582,fb749b,1,4/29/2025,4/29/2025,$60.00 ,$0.00 ,$0.00 ,$0.00 ,76116
