InspectionID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
INSP-314134,,,,,,
INSP-32722,MFH,800000167,BONNIE DOONE,100 Sandifer Road,"ATHENS, AL",35611
INSP-32725,MFH,800000193,CHANTICLEER APTS,1200 WOODROW AVE,"SELMA, AL",36701
INSP-33691,MFH,800000239,EAST ALABAMA GROUP,601  MARION AVE,"OPELIKA, AL",36801
INSP-33698,MFH,800000327,LAKEWOOD,1230 PINE AVENUE,"EUFAULA, AL",36027
INSP-32037,MFH,800000378,OZARK MANOR,1515 MIXON SCHOOL RD,"OZARK, AL",36360
INSP-32039,MFH,800000435,SOUTHWOOD GARDENS,100 Southwood Gdns,"Russellville, AL",35653
INSP-32734,MFH,800000465,TROY MANOR,200 BRUCE ST,"TROY, AL",36081
INSP-32274,MFH,800000509,ARCHWAY APARTMENTS,1015 N Nashville Ave,"Russellville, AR",72801
INSP-32279,MFH,800000629,HERITAGE HOMES,1125 S Independence Ave,"Russellville, AR",72801
INSP-32281,MFH,800000650,HOUSING SERVICES,715A E G St,"Russellville, AR",72801
INSP-34129,MFH,800000674,Lighthouse Group,2145 N Heights Ave,"BATESVILLE, AR",72501
INSP-34375,MFH,800000835,BROADWAY,2440-A S MILL AVE,"Tempe, AZ",85282
INSP-34377,MFH,800000865,Christian Care,1944 W Sunnyside Ave,"PHOENIX, AZ",85029
INSP-33412,MFH,800000905,Hacienda Del Rio,4121 W McDowell Rd # 4,"PHOENIX, AZ",85009
INSP-34380,MFH,800000923,Catalunya,5180 E 22ND ST,"Tucson, AZ",85711
INSP-33414,MFH,800000936,Paradise Shadows,16035 N 27th St,"PHOENIX, AZ",85032
INSP-34381,MFH,800000940,PINEVIEW MANOR,304 S Clark Rd,"Payson, AZ",85541
INSP-34382,MFH,800000952,Miraflores,4011 N 1ST AVE,"Tucson, AZ",85719
INSP-34385,MFH,800000971,Valley of the Sun,5752 WEST  BELMONT AVENUE,"Glendale, AZ",85301
INSP-34386,MFH,800000981,Viviendas,5602 EAST EDISON STREET,"Tucson, AZ",85712
INSP-32442,MFH,800001230,CASCADE APARTMENTS,7600 FRUITRIDGE RD,"Sacramento, CA",95820
INSP-33435,MFH,800001516,Florin Gardens,2471 57th AVE,"Sacramento, CA",95822
INSP-31096,MFH,800001619,Hartford Place,2058 HARTFORD DR,"CHICO, CA",95928
