ScheduledInspectionDate,InspectionID,InspectionSearchID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
2025-04-08 00:00:00,INSP-31074,31074,MFH,800016133,1085 MANHATTAN,1085 Manhattan AVE,"Brooklyn, NY",11222
2025-04-22 00:00:00,INSP-32363,32363,MFH,800011919,10th and Lami,1000 Lami St,"Saint Louis, MO",63104
2025-03-31 00:00:00,INSP-31114,31114,MFH,800002874,10th Ave Town,6312 10TH AVE,"LOS ANGELES, CA",90043
2025-08-11 00:00:00,INSP-33145,33145,MFH,800059748,1116 BROOKVIEW,1116 Brookview Dr,"Toledo, OH",43615
2025-03-10 00:00:00,INSP-33240,33240,MFH,800004587,135TH STREET,2860 NW 135TH ST  Apt 117,"OPA LOCKA, FL",33054
2025-05-15 00:00:00,INSP-33389,33389,MFH,800016141,1569 DEVELOPMENT,1569 PROSPECT PL,"Brooklyn, NY",11233
2025-03-06 00:00:00,INSP-32191,32191,MFH,800006613,16 PARK APARTMENTS,1621 N PARK AVENUE,"INDIANAPOLIS, IN",46202
,INSP-34175,34175,MFH,800224928,1602 SOUTH STAPLES,1602 S Staples St,"Corpus Christi, TX",78404
2025-04-09 00:00:00,INSP-34340,34340,MFH,800015130,162-183 Birch,550 W 162ND ST,"New York, NY",10032
2025-04-08 00:00:00,INSP-32417,32417,MFH,800016152,1992 DAVIDSON,1992 DAVIDSON AVE,"BRONX, NY",10453
2025-03-06 00:00:00,INSP-30775,30775,MFH,800219791,27 JACKSON ROAD,291 Mystic Ave,"MEDFORD, MA",02155
2025-07-18 00:00:00,INSP-32184,32184,MFH,800248659,270 HUNTINGTON AVE,270 Huntington Ave,"BOSTON, MA",02115
2025-04-21 00:00:00,INSP-33399,33399,MFH,800219945,2827 RIVER ROAD,2827 River Road,"Niskayuna, NY",12309
2025-05-27 00:00:00,INSP-33024,33024,MFH,800003148,29 Mile Apartments,2915 Orchard Ave,"GRAND JUNCTION, CO",81504
2025-03-03 00:00:00,INSP-31075,31075,MFH,800016176,430-440 EAST 138TH,430-440 E 138th St,"BRONX, NY",10454
2025-07-28 00:00:00,INSP-31897,31897,PIH,IL002172000,4400 Grove,4424.4434  S COTTAGE GROVE ST,"Chicago, IL",60653
2025-02-19 00:00:00,INSP-32526,32526,MFH,800016179,477 LENOX AVENUE,477 MALCOLM  X  BLVD,"New York, NY",10037
,INSP-33545,33545,PIH,DC001005430,4800 Nannie Helen Burroughs,4800 Nannie Helen Burroughs Ave NE,"WASHINGTON, DC",20019
2025-08-12 00:00:00,INSP-31873,31873,PIH,IA020000006,5H,2309 EUCLID,"Des Moines, IA",50310
2025-05-07 00:00:00,INSP-33427,33427,MFH,800001271,615 MANHATTAN,615 S MANHATTAN PL,"LOS ANGELES, CA",90005
2025-03-11 00:00:00,INSP-31076,31076,MFH,800016186,658 MONTGOMERY,658 MONTGOMERY ST,"Brooklyn, NY",11225
2025-03-19 00:00:00,INSP-33950,33950,MFH,800006526,65TH STREET,6400 South Maryland,"Chicago, IL",60637
,INSP-33651,33651,PIH,PA004000700,700 Building,700 Union St,"ALLENTOWN, PA",18101
2025-06-13 00:00:00,INSP-34423,34423,MFH,800002599,740 S. Olive,740 S OLIVE ST,"LOS ANGELES, CA",90014
2025-05-08 00:00:00,INSP-34430,34430,MFH,800002898,80th Street Apts,710 W 80TH ST,"LOS ANGELES, CA",90044
,INSP-34352,34352,MFH,800016191,82 BANK STREET,82 BANK ST,"WHITE PLAINS, NY",10606
2025-04-16 00:00:00,INSP-33097,33097,MFH,800009915,8330 ON THE RIVER,8330 East JEFFERSON AVE,"Detroit, MI",48214
2025-05-13 00:00:00,INSP-33201,33201,MFH,800021567,911 GLENOAK APTS,711 Glenoak Dr,"Corpus Christi, TX",78418
